Text,Rating
Хочу выразить благодарность сотруднику Валентине Премиум обслуживание в городе. Г. Петропавловска Камчатского. За быстроту решения вопросов. За качественное обслуживание. Всегда поможет. Всегда подскажет как лучше поступить. Благодаря таким сотрудникам хочется возвращаться снова и снова. Желаю успехов во всем сотруднику банка. А банку развиваться дальше и придумывать новые программы лояльности Особенно радует программа подписка Плюс. И что есть возможность получать хорошие мили в программе Аэрофлота бонус. Ещё раз спасибо,5
Хочу выразить благодарность так как хорошее обычно не замечается а когда подгорает то пишется обычно гневный отзыв. Отделение м Варшавкское сотрудник Екатерина разобралась в моем вопросе и решила его хотя до этого приходилось подходить в другое отделение дня подряд. Вопрос вроде решался но не до конца. А тут вместе с рук. отделения все решили без лишних слов быстро и профессионально. Отделение небольшое рядом с метро много возрастных клиентов не сильно подкованных технически но все очень корректно и оперативно происходит. Ну а банк в имхо один из лучших на сегодняшний день.,5
Стал клиентом банка с марта года всё понравилось проценты по вкладам изначально с очень не плохим процентом который предлагает банк так же пользуемся кредитной картой дней на полезные покупки так как зарплатный мой банк ВТБ в котором я не вижу существенных преимуществ перед ГПБ Я с радостью убежал из него в Газпромбанк переведя все сбережения на счёт в ГПБ ещё плюсом пользуясь дебетовой картой вам начисляют кэшбэк раз в месяц за покупки по карте в целом Банк очень хорош надеемся что так и будет в дальнейшем.,4
Интересовал вопрос по оформлению дебетовой карты для пользования в другой стране. Позвонила вчера на горячую линию и девушка все подробно объяснила ответила на вопросы за что ей огромное спасибо Особенно понравилось отсутствие лишнего навязывания каких то предложений или услуг разговор был чисто по теме вопроса. Позже обязательно оформлю карту у вас спасибо большое,5
Обслуживания на высшем уровни. Всё быстро чётко и понятно рассказывают предлогают новые услуги. Все делают более доступно и понятно для клиента банка. Перешла пеоформлять карту всё быстро сделали ещё взяла новый продукт от СИНАРА БАНКА и в принцепе очень хорошая карта и могу подчеркнуть очень выгодная и по кэшбеку и по бонусом.,5
Очень положительное было впечатление о банке всем советовала оформить карты в этом банке. Пока не списал сумму начисленного кэшбэка в несколько раз выше чем начислил за отмену ранее купленного товара не в период акции. На горячей линии вопрос не решили говорят мне что поставщик поставил совсем другую дату возврата и не важно что в приложении у меня отражается дата уже после проведения акции. Теперь подумаю участвовать ли еще в таких акциях и оплачивать ли картой вашего банка.,5
Хочу поблагодарить Газпромбанк за отличный сервис и за его представителей. Такого замечательного отношения к клиентам я не встречал нигде. Особенно хочу поблагодарить сотрудника Дениса. Он очень подробно а главное на простом языке все объяснил о карте а так же помог зарегестрироваться в приложение. Так же рассказал о кредитной карте и как можно ее заказать. К сожалению сегодня вызвали на работу и я не смог встретиться по адресу который указывал в анкете после первого звонка Дениса я ему об этом сказал на что он спросил по какому адресу я буду находится и сказал что сможет подъехать по другому когда Денис позвонил за пол часа до встречи я обнаружил что забыл паспорт дома тогда Денис предложил встретиться по изначальному адресу когда я вернусь в итоге Денис приехал ко мне в чему я был очень сильно удивлен Отдельное спасибо за индивидуальный подход к клиентам. Обязательно всем буду рекомендовать данный банк.,1
Решел сменить премиальное обслуживание с ОТП банка на ДомРФ. где условия намного лучше и проценты выше. Забежал в отделение в г. Казани где мне быстро все оформили объяснили активировали приложение. Я ранее был клентом банка так что все знал и быстро сделали. Спасибо менеджеру Светлане. Договорились что как только выведу деньги со своего банка то приеду к ним. Это удалось сделать в этот же вечер и я позвонил Светлане и меня уже ждали в ДомРФ банке. Пустили на свою парковку и быстро все сделали. Обслуживание на высоте. И вот я снова клиент банка. Заодно и ИИС открыли. Давно хотел все руки не доходили. Мне понравилось такое отношение к клиентам. Молодцы.,5
Заказала онлайн за минуты сразу же пришла смс о готовности. Карта к сожалению не именная В назначеный день позвонил курьер Александр и вежливо согласовал время посещения. Когда приехал оперативно все выдал проконсультировал и показал как работать в онлайн банке. Всем довольна Приложение очень понятное и удобное. Я сразу поняла как делать переводы и ставить лимиты. А дочери понравились дизайн и возможность проявить самостоятельность как взрослая,5
Обращалась в чат с банком сентября с проблемой что не получилось создать подписку СБП в Яндекс . Мне почему то поступил отказ. Оператор в чате ответил в течение нескольких минут утончил детали и создал заявку в тех. поддержку. В этот же день мне написали в чате с решением проблемы. Я выполнила рекомендации и у меня получилось подключить подписку. Большое спасибо за оперативное решение вопроса,5
Выражаю благодарность специалисту банка Виктории за доставку премиальной карты заказанной на официальном сайте банка. Представитель привезла карту в строго согласованное время. При получении карты была оказана квалифицированная помощь по активации карты через приложение а также по настройке переводов через СБП. Виктория также рассказала о вкладках и накопительных счетах подсказала о преимуществах оператора мобильной связи Газпром Мобайл при использовании карты банка. От встречи остались только положительные отзывы.,5
сентября я внесла рублей на дебетовую карту Уралсиба через банкомат банка партнера Открытие. При внесении до рублей комиссия не взымается так написано в моем тарифе. НО по какой то непонятной причине тут же списывается комиссия рублей. Претензия в онлайн чат банка была написана на след. день. Пришло уведомление на почту Решение по вашей заявке Некорректные настройки при введении новых тарифов плановый возврат некорректно списанной комиссии в течении рабочих дней сентября. Уже сентября но деньги банк так и не спешит возвращать,5
Добрый день Понравились очень выгодные условия по накопительному счету для нового клиента но до этого не имел опыт с этим банком. Для начала было решено оформить дебетовую карту так сказать для знакомства с банком и окончательного решения хочу ли быть клиентом банка. Посещал офис ДО Бутово . Конечно есть небольшая очередь надо иметь ввиду что прям быстро не получится но это не является прям критичным. Сотрудник всё быстро сделал. Рассказал информацию о других продуктов банка. Понравилось что нет давления на посетителя со стороны сотрудника об оформлении дополнительных продуктов как это происходит в других банках. Это меня приятно удивило. Карту получил всё отлично. Единственно информация которую я уже узнал через чат когда столкнулся с этим что в первые часа после получения карты не работают переводы СБП. Хотел перевести деньги а получил такой сюрприз. В моем случае мои планы это не испортило но могла на этом фоне случится не очень приятная ситуация. Чат банка работает оперативно. На все вопросы отвечает грамотно кратко но при этом самое главное одним сообщением доносят всю нужную информацию Именно поэтому в сентябре оформил накопительный счет. В целом банком доволен. Всё отлично.,1
Я упустила момент списания комиссии за смс уведомления и в один прекрасный день увидела что комиссию списали. У меня уже было приложение поэтому я решила что смс мне не нужны. В чат июля время не отображается в переписке поэтому точно не скажу во сколько пошла интересоваться можно ли вернуть комиссию. Если честно шла без всякой надежды. Сумма ни о чем всего рублей но все равно неприятно а тут вроде как еще и сама не доглядела. В чате быстро подключилась оператор Вера и буквально минуты за разобралась и сообщила что рублей на мой счет возвращены. Мелочь на эти деньги даже чашку кофе не купишь но мне было крайне приятно. Благодарю за лояльность и быстрое решение без ожиданий по дней.,5
Активно начала пользоваться картой банка этим летом и приятно удивлена. Здесь любой вопрос можно решить через обращение в чат. По крайней мере все с которыми сталкивалась я решали без проблем. На сайте прочитала что есть такая вещь как подписка на переводы чтоб без комиссии переводить и почему то сделала вывод что подписка эта подключается автоматически прри выпуске карты. Но мне обычный лимитов на переводы с головой хватает. Но как отключить у себя эту подписку не нашла. июля время в чате не вижу я обратилась в чат банка с просьбой помочь разобраться. Мне достаточно быстро ответила оператор Ангелина и рассказала мне о моем тарифе а именно что он бесплатный и что подписка на бесплатные переводы у меня не подключена. Я задала еще дополнительный вопрос по лимитам получила ответ и мы мило попрощались. Ангелине ставлю звезд за быструю помощь и отсутствие воды,5
В субботу . на сайте оформил к выдаче себе дебетовую карту. Пришла смс с текстом что карта уже готова и ждёт вас в отделении. В понедельник придя в отделение сразу стало понятно что никто меня не ждал для меня никакой карты не выпускал и выдавать не собирался. Далее ещё на этапе проверки моих паспортных данных перед тем как выдать мне карту сотрудница начала меня шантажировать что карту мне не выдадут если я не пополню свой мобильный счёт в её присутствии. У меня корпоративная связь и пополнять мне её не нужно. Услышав это она попыталась вовлечь в эту схему моих родственников с их мобильными счетами но я отказался. Потом оказалось что у меня задвоились данные и карту она мне всё равно не даст но заверила что заявку в поддержку она составила и ещё до конца рабочего дня мне перезвонит и пригласит на выдачу карты. Конечно мне никто не звонил ни в тот день ни на следущий и даже сегодня не позвонили. И вот у меня вопросы зачем обманывать на этапе оформления карты на сайте и слать ложные смс Зачем пугать и заставлять пополнять мобильные счета Почему сотрудники обманывают и не перезванивают И когда мне выдадут карту которая была готова ещё три дня назад,5
Сегодня . . получил дебетовую карту Мир Суприм от Газпромбанка. Являюсь клиентом Газпромбанка уже значительное время и получаю зарплату на карту Газпромбанка. Доставкой карт пользуюсь не первый раз. У Газпромбанка доставка осуществляется своевременно и без лимита по времени работаю до поздна. Позвонил представитель Юрий согласовали встречу. Попросил на вечернее время доставить объяснил причину Юрий вошел в положение за что я ему очень благодарен. Встреча прошла в очень дружественной обстановке скованности и неуверенности у меня не было. Сотрудник предложил подняться я с радостью согласился потому что многие сотрудники доставки иных банков тащили меня в свои автомобили. Мы подробно с Юрием обсудили документацию и функционал карты. На все заданные мною вопросы я получил корректные и достоверные ответы а самое главное на простом и человеческом языке. Также Юрий помог активировать карту и объяснил все основные моменты на что стоит обратить внимание. Самое важное что мне понравилось в представителе это его ненавязчивость. Мы рассмотрели накопительные счета с сотрудником Юрий заверил что если думаете начать откладывать деньги может порекомендовать накопительный счет . Зашли ознакомились с счетами заинтересовал счет под помог открыть и проконсультировал что это приветственная надбавка на первые месяца далее . Какие надбавки я могу получить тоже объяснил. Очень выгодно на мой взгляд. Но самое что меня заинтересовало это защита моих карт и счетов от мошенников. Огромное количество звонков получаю от мошенников один раз даже чуть не развели вовремя очнулся и сбросил звонок. Зашли на сайт банка и ознакомились с предоставлеными услугами на случай страхового риска. Впринципе почти на все случаи от мошенников цена хорошая. Пока на пробу заключил полис за р в год покроет если что на р. Если все устроит рассмотрю варианты на большие лимиты по сумме. Потому что лучше иной раз перестраховаться и быть уверенным что деньги не уплывут по собственной наивности и доверчивости. Уже будет уверенность что мои средства застрахованы и вернет их страховая. Очень актуально в нынешнее время потому что надежды на наши правоохранительные органы нет. Остальными продуктами банка я уверенно пользуюсь поэтому вопросов к сотруднику у меня больше не было. Юрий не раз повторил есть ли у меня вопросы . На данный момент нет сказал что можете написать в чат или позвонить на горячую линию а если возникнут вопросы в рабочее время могу позвонить ему и проконсультироваться. Сотруднику Юрию огромное за все спасибо. Газпромбанку развития.,1
Я хотела бы выразить свою безграничную благодарность представителю газпром банка Андрею. Я заказала дебетовую и кредитную карты. Назначили встречу с представителем на разные дни. Сначала кредитную карту я должна была получить но так сложилось что я находилась по другому адресу в другом районе мне было очень обидно Понимала что никто не поедет так далеко а карту я могла получить только в тот день. Когда мне позвонил представитель банка я объяснила мою ситуацию и извинилась сказала что хочу отказаться от карты. Но как я была удивлена что Андрей пошел мне на встречу и сказал что приедет туда куда я скажу. Это было очень приятно я почувствовала себя важным клиентом банка. Спасибо огромное данному специалисту побольше бы таких людей которые любят свою работу и относятся к ней со всей душой Ах да и на следующий день у меня была встреча по дебетовой карте. И представляете снова я увидела что мою карту доставляет представитель Андрей Мне предоставили полную и достоверную информацию что позволило мне чувствовать себя уверенно в том что я выбрала именно ваш банк.,5
Добрый вечер Встретился с представителем банка Екатерина Д ва подстроилась под мое время и изменили точку встречи. Ознокомила с документами и объяснила условия Авто кредита и дебетовой карты подписали документы получил весь пакет документов. Такой как Екатерина представителей банка вежливой сексуальной коммуникабельной и главное всё по полочкам рассказала объяснила,5
При оформлении дебетовой карты возникла проблема. У меня был раннее взят кредит на другую фамилию и в связи с замужеством фамилия поменялась а телефон привязан один на фамилии. Пригласили в офис банка оказалось что у нас в Егорьевске как раз только появился Альфа банк. Менеджер Екатерина оформила все документы и я смогла оформить карту. Через пару дней пришли с сыном и ему тоже оформили карту помогли с подключением дополнительных серверов. Спасибо.,5
сентября года обратилась в отделение банка по адресу Санкт Петербург проспект Тореза д. . Причина обращения обновление паспортных данных. Специалист Александр помог мне решить мой вопрос. Отделение банка оформлено в лаконичном стиле в банке комфортная обстановка Специалист за несколько минут обновил мне паспортные данные ответил на мои вопросы о кредитных картах условия обслуживания погашения долга закрытия счета. Александр был доброжелателен и вежлив Большая благодарность Александру,5
. . . Оплатить рублевой от Газпромбанка в ОЗОНе невозможно. Приходит сообщение от банка отключите ограничение на покупки в Интернете отключил результат попрежнему отрицательный. Невозможно кстати оплатить и в . Ну и в дополнение невозможно войти в Интернет банк на сайте ГПБ не приходит СМС на телефон привязанный к карте. Не приходит и . Работать остается только на планшете мобильный банк ограниченный по своим возможностям.,5
сентября появилась проблема и я обратился к сотрудникам в чате в вк с просьбой дополнить моё обращение и перенести наш диалог в приложение потому что там мне удобнее Со мной связался сотрудник с именем Регина которая сказала что прямо сейчас может решить все мои проблемы я был приятно удивлён ведь долго дожидался ответа. Регина чётко расписала почему так произошло и компенсировала потраченные нервы и время за что ей огромное спасибо Скриншоты прикрепил в письме,3
сентября я обратился в контакт центр Альфа Банка в с вопросом о возможности изменения лимита на моей банковской карте. Меня обслуживала специалистка по имени Анна. Анна оказала мне исключительно профессиональную помощь. Она подробно объяснила какие документы мне понадобятся для изменения лимита и какие сроки ожидания. Было приятно видеть что сотрудник банка был готов ответить на все мои вопросы и уделил мне достаточно внимания несмотря на загруженность контакт центра. Что меня порадовало так это оперативность решения вопроса. Анна предложила отправить мою заявку сразу после нашего разговора и я получил подтверждение об изменении лимита уже на следующий день. Это действительно впечатляет. Я бы хотел выразить благодарность Анне за ее профессионализм и отличное обслуживание. Этот опыт общения с Альфа Банком был приятным и беззаветно положительным. Большое спасибо,5
